No,Country,Latitude,Longitude,Crop,Year,Kg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
4516,Brazil,-14.235,-51.9253,Yams,2010,9533.2,1761,342580,20.72
4517,Brazil,-14.235,-51.9253,Yams,2010,9533.2,1761,342580,27.56
4518,Brazil,-14.235,-51.9253,Yams,2010,9533.2,1761,342580,19.01
4519,Brazil,-14.235,-51.9253,Yams,2010,9533.2,1761,342580,26.3
4520,Brazil,-14.235,-51.9253,Yams,2010,9533.2,1761,342580,24.95
4521,Brazil,-14.235,-51.9253,Yams,2010,9533.2,1761,342580,25.78
3234,Brazil,-14.235,-51.9253,Yams,1996,9183.7,1761,101621.67,25.45
4808,Brazil,-14.235,-51.9253,Yams,2013,9607.8,1761,367778,21.59
4809,Brazil,-14.235,-51.9253,Yams,2013,9607.8,1761,367778,20.07
4810,Brazil,-14.235,-51.9253,Yams,2013,9607.8,1761,367778,17.57
4811,Brazil,-14.235,-51.9253,Yams,2013,9607.8,1761,367778,17.57
4812,Brazil,-14.235,-51.9253,Yams,2013,9607.8,1761,367778,27.71
4813,Brazil,-14.235,-51.9253,Yams,2013,9607.8,1761,367778,20.07
4814,Brazil,-14.235,-51.9253,Yams,2013,9607.8,1761,367778,27.11
4815,Brazil,-14.235,-51.9253,Yams,2013,9607.8,1761,367778,17.84
4816,Brazil,-14.235,-51.9253,Yams,2013,9607.8,1761,367778,26.4
4817,Brazil,-14.235,-51.9253,Yams,2013,9607.8,1761,367778,25.19
4818,Brazil,-14.235,-51.9253,Yams,2013,9607.8,1761,367778,26.14
3323,Brazil,-14.235,-51.9253,Yams,1997,9177.3,1761,110276.11,21.91
3324,Brazil,-14.235,-51.9253,Yams,1997,9177.3,1761,110276.11,20.77
3325,Brazil,-14.235,-51.9253,Yams,1997,9177.3,1761,110276.11,18.36
3326,Brazil,-14.235,-51.9253,Yams,1997,9177.3,1761,110276.11,18.36
3327,Brazil,-14.235,-51.9253,Yams,1997,9177.3,1761,110276.11,27.85
3328,Brazil,-14.235,-51.9253,Yams,1997,9177.3,1761,110276.11,20.77
3329,Brazil,-14.235,-51.9253,Yams,1997,9177.3,1761,110276.11,27.57
3330,Brazil,-14.235,-51.9253,Yams,1997,9177.3,1761,110276.11,19.12
3331,Brazil,-14.235,-51.9253,Yams,1997,9177.3,1761,110276.11,25.96
3332,Brazil,-14.235,-51.9253,Yams,1997,9177.3,1761,110276.11,24.71
3333,Brazil,-14.235,-51.9253,Yams,1997,9177.3,1761,110276.11,25.2
3422,Brazil,-14.235,-51.9253,Yams,1998,9182.3,1761,118930.56,22.35
3423,Brazil,-14.235,-51.9253,Yams,1998,9182.3,1761,118930.56,20.71
3424,Brazil,-14.235,-51.9253,Yams,1998,9182.3,1761,118930.56,18.2
3425,Brazil,-14.235,-51.9253,Yams,1998,9182.3,1761,118930.56,18.2
3426,Brazil,-14.235,-51.9253,Yams,1998,9182.3,1761,118930.56,28.76
3427,Brazil,-14.235,-51.9253,Yams,1998,9182.3,1761,118930.56,20.71
3428,Brazil,-14.235,-51.9253,Yams,1998,9182.3,1761,118930.56,27.54
3429,Brazil,-14.235,-51.9253,Yams,1998,9182.3,1761,118930.56,18.49
3430,Brazil,-14.235,-51.9253,Yams,1998,9182.3,1761,118930.56,26.63
3431,Brazil,-14.235,-51.9253,Yams,1998,9182.3,1761,118930.56,24.78
3432,Brazil,-14.235,-51.9253,Yams,1998,9182.3,1761,118930.56,26.08
4214,Brazil,-14.235,-51.9253,Yams,2007,9259.3,1761,304031,22.19
4215,Brazil,-14.235,-51.9253,Yams,2007,9259.3,1761,304031,20.93
4216,Brazil,-14.235,-51.9253,Yams,2007,9259.3,1761,304031,18.66
4217,Brazil,-14.235,-51.9253,Yams,2007,9259.3,1761,304031,18.66
4218,Brazil,-14.235,-51.9253,Yams,2007,9259.3,1761,304031,27.92
4219,Brazil,-14.235,-51.9253,Yams,2007,9259.3,1761,304031,20.93
4220,Brazil,-14.235,-51.9253,Yams,2007,9259.3,1761,304031,27.32
4221,Brazil,-14.235,-51.9253,Yams,2007,9259.3,1761,304031,19.05
4222,Brazil,-14.235,-51.9253,Yams,2007,9259.3,1761,304031,25.95
4223,Brazil,-14.235,-51.9253,Yams,2007,9259.3,1761,304031,24.78
4224,Brazil,-14.235,-51.9253,Yams,2007,9259.3,1761,304031,25.44
3719,Brazil,-14.235,-51.9253,Yams,2001,9038.5,1761,151523,22.14
3720,Brazil,-14.235,-51.9253,Yams,2001,9038.5,1761,151523,20.96
3721,Brazil,-14.235,-51.9253,Yams,2001,9038.5,1761,151523,18.67
3722,Brazil,-14.235,-51.9253,Yams,2001,9038.5,1761,151523,18.67
3723,Brazil,-14.235,-51.9253,Yams,2001,9038.5,1761,151523,27.69
3724,Brazil,-14.235,-51.9253,Yams,2001,9038.5,1761,151523,20.96
3725,Brazil,-14.235,-51.9253,Yams,2001,9038.5,1761,151523,27.08
3726,Brazil,-14.235,-51.9253,Yams,2001,9038.5,1761,151523,19.73
3727,Brazil,-14.235,-51.9253,Yams,2001,9038.5,1761,151523,26.08
3728,Brazil,-14.235,-51.9253,Yams,2001,9038.5,1761,151523,24.99
2630,Brazil,-14.235,-51.9253,Yams,1990,9148.9,1761,49695,21.88
2631,Brazil,-14.235,-51.9253,Yams,1990,9148.9,1761,49695,20.29
2632,Brazil,-14.235,-51.9253,Yams,1990,9148.9,1761,49695,17.77
2633,Brazil,-14.235,-51.9253,Yams,1990,9148.9,1761,49695,17.77
2634,Brazil,-14.235,-51.9253,Yams,1990,9148.9,1761,49695,27.65
2635,Brazil,-14.235,-51.9253,Yams,1990,9148.9,1761,49695,20.29
2636,Brazil,-14.235,-51.9253,Yams,1990,9148.9,1761,49695,27.07
2637,Brazil,-14.235,-51.9253,Yams,1990,9148.9,1761,49695,18.47
2638,Brazil,-14.235,-51.9253,Yams,1990,9148.9,1761,49695,25.76
2639,Brazil,-14.235,-51.9253,Yams,1990,9148.9,1761,49695,24.64
2640,Brazil,-14.235,-51.9253,Yams,1990,9148.9,1761,49695,25.29
4610,Brazil,-14.235,-51.9253,Yams,2011,9641.4,1761,345026,21.74
4611,Brazil,-14.235,-51.9253,Yams,2011,9641.4,1761,345026,20.33
4612,Brazil,-14.235,-51.9253,Yams,2011,9641.4,1761,345026,18.01
4613,Brazil,-14.235,-51.9253,Yams,2011,9641.4,1761,345026,18.01
4614,Brazil,-14.235,-51.9253,Yams,2011,9641.4,1761,345026,27.36
4615,Brazil,-14.235,-51.9253,Yams,2011,9641.4,1761,345026,20.33
4616,Brazil,-14.235,-51.9253,Yams,2011,9641.4,1761,345026,27.29
4415,Brazil,-14.235,-51.9253,Yams,2009,9459.9,1761,335742,18.38
4416,Brazil,-14.235,-51.9253,Yams,2009,9459.9,1761,335742,27.39
4417,Brazil,-14.235,-51.9253,Yams,2009,9459.9,1761,335742,20.78
4418,Brazil,-14.235,-51.9253,Yams,2009,9459.9,1761,335742,27.39
4419,Brazil,-14.235,-51.9253,Yams,2009,9459.9,1761,335742,18.84
4420,Brazil,-14.235,-51.9253,Yams,2009,9459.9,1761,335742,26.3
4421,Brazil,-14.235,-51.9253,Yams,2009,9459.9,1761,335742,24.98
4422,Brazil,-14.235,-51.9253,Yams,2009,9459.9,1761,335742,26
4711,Brazil,-14.235,-51.9253,Yams,2012,9761.9,1761,346583,18.8
4712,Brazil,-14.235,-51.9253,Yams,2012,9761.9,1761,346583,18.8
4713,Brazil,-14.235,-51.9253,Yams,2012,9761.9,1761,346583,28.21
4714,Brazil,-14.235,-51.9253,Yams,2012,9761.9,1761,346583,21.02
4715,Brazil,-14.235,-51.9253,Yams,2012,9761.9,1761,346583,27.34
4716,Brazil,-14.235,-51.9253,Yams,2012,9761.9,1761,346583,19.72
4717,Brazil,-14.235,-51.9253,Yams,2012,9761.9,1761,346583,26.13
4718,Brazil,-14.235,-51.9253,Yams,2012,9761.9,1761,346583,24.84
4719,Brazil,-14.235,-51.9253,Yams,2012,9761.9,1761,346583,25.65
3818,Brazil,-14.235,-51.9253,Yams,2002,9200,1761,145552,22.5
3819,Brazil,-14.235,-51.9253,Yams,2002,9200,1761,145552,21.3
3820,Brazil,-14.235,-51.9253,Yams,2002,9200,1761,145552,19.09
3821,Brazil,-14.235,-51.9253,Yams,2002,9200,1761,145552,19.09
3822,Brazil,-14.235,-51.9253,Yams,2002,9200,1761,145552,27.85
3823,Brazil,-14.235,-51.9253,Yams,2002,9200,1761,145552,21.3
3824,Brazil,-14.235,-51.9253,Yams,2002,9200,1761,145552,27.27
3825,Brazil,-14.235,-51.9253,Yams,2002,9200,1761,145552,19.49
3826,Brazil,-14.235,-51.9253,Yams,2002,9200,1761,145552,26.01
3827,Brazil,-14.235,-51.9253,Yams,2002,9200,1761,145552,25.18
3828,Brazil,-14.235,-51.9253,Yams,2002,9200,1761,145552,25.56
3026,Brazil,-14.235,-51.9253,Yams,1994,9166.7,1761,84312.78,21.91
3027,Brazil,-14.235,-51.9253,Yams,1994,9166.7,1761,84312.78,20.77
3028,Brazil,-14.235,-51.9253,Yams,1994,9166.7,1761,84312.78,18.42
3029,Brazil,-14.235,-51.9253,Yams,1994,9166.7,1761,84312.78,18.42
3030,Brazil,-14.235,-51.9253,Yams,1994,9166.7,1761,84312.78,27.53
3031,Brazil,-14.235,-51.9253,Yams,1994,9166.7,1761,84312.78,20.77
3032,Brazil,-14.235,-51.9253,Yams,1994,9166.7,1761,84312.78,26.9
3033,Brazil,-14.235,-51.9253,Yams,1994,9166.7,1761,84312.78,19.15
3620,Brazil,-14.235,-51.9253,Yams,2000,9152.2,1761,140423,21.69
3621,Brazil,-14.235,-51.9253,Yams,2000,9152.2,1761,140423,20.32
3622,Brazil,-14.235,-51.9253,Yams,2000,9152.2,1761,140423,18.01
3623,Brazil,-14.235,-51.9253,Yams,2000,9152.2,1761,140423,18.01
3624,Brazil,-14.235,-51.9253,Yams,2000,9152.2,1761,140423,27.5
3625,Brazil,-14.235,-51.9253,Yams,2000,9152.2,1761,140423,20.32
3626,Brazil,-14.235,-51.9253,Yams,2000,9152.2,1761,140423,26.82
3627,Brazil,-14.235,-51.9253,Yams,2000,9152.2,1761,140423,18.65
3628,Brazil,-14.235,-51.9253,Yams,2000,9152.2,1761,140423,25.71
3629,Brazil,-14.235,-51.9253,Yams,2000,9152.2,1761,140423,24.36
3630,Brazil,-14.235,-51.9253,Yams,2000,9152.2,1761,140423,25.35
3923,Brazil,-14.235,-51.9253,Yams,2004,9234.5,1761,214725,27.24
3924,Brazil,-14.235,-51.9253,Yams,2004,9234.5,1761,214725,18.75
3925,Brazil,-14.235,-51.9253,Yams,2004,9234.5,1761,214725,25.94
3926,Brazil,-14.235,-51.9253,Yams,2004,9234.5,1761,214725,24.24
3927,Brazil,-14.235,-51.9253,Yams,2004,9234.5,1761,214725,25.37
3729,Brazil,-14.235,-51.9253,Yams,2001,9038.5,1761,151523,25.59
3224,Brazil,-14.235,-51.9253,Yams,1996,9183.7,1761,101621.67,21.56
3225,Brazil,-14.235,-51.9253,Yams,1996,9183.7,1761,101621.67,20.18
3226,Brazil,-14.235,-51.9253,Yams,1996,9183.7,1761,101621.67,17.83
3227,Brazil,-14.235,-51.9253,Yams,1996,9183.7,1761,101621.67,17.83
3228,Brazil,-14.235,-51.9253,Yams,1996,9183.7,1761,101621.67,27.6
3229,Brazil,-14.235,-51.9253,Yams,1996,9183.7,1761,101621.67,20.18
3230,Brazil,-14.235,-51.9253,Yams,1996,9183.7,1761,101621.67,27.07
3231,Brazil,-14.235,-51.9253,Yams,1996,9183.7,1761,101621.67,18.63
3232,Brazil,-14.235,-51.9253,Yams,1996,9183.7,1761,101621.67,25.94
3233,Brazil,-14.235,-51.9253,Yams,1996,9183.7,1761,101621.67,24.28
4115,Brazil,-14.235,-51.9253,Yams,2006,9230.8,1761,238716,21.82
4116,Brazil,-14.235,-51.9253,Yams,2006,9230.8,1761,238716,20.6
4117,Brazil,-14.235,-51.9253,Yams,2006,9230.8,1761,238716,18.47
4118,Brazil,-14.235,-51.9253,Yams,2006,9230.8,1761,238716,18.47
4119,Brazil,-14.235,-51.9253,Yams,2006,9230.8,1761,238716,27.76
4120,Brazil,-14.235,-51.9253,Yams,2006,9230.8,1761,238716,20.6
4121,Brazil,-14.235,-51.9253,Yams,2006,9230.8,1761,238716,27.34
4122,Brazil,-14.235,-51.9253,Yams,2006,9230.8,1761,238716,19.35
4123,Brazil,-14.235,-51.9253,Yams,2006,9230.8,1761,238716,26.26
4124,Brazil,-14.235,-51.9253,Yams,2006,9230.8,1761,238716,24.57
4125,Brazil,-14.235,-51.9253,Yams,2006,9230.8,1761,238716,25.41
3527,Brazil,-14.235,-51.9253,Yams,1999,9200,1761,127585,26.66
4412,Brazil,-14.235,-51.9253,Yams,2009,9459.9,1761,335742,22.25
4413,Brazil,-14.235,-51.9253,Yams,2009,9459.9,1761,335742,20.78
4414,Brazil,-14.235,-51.9253,Yams,2009,9459.9,1761,335742,18.38
3523,Brazil,-14.235,-51.9253,Yams,1999,9200,1761,127585,17.66
3524,Brazil,-14.235,-51.9253,Yams,1999,9200,1761,127585,17.66
3525,Brazil,-14.235,-51.9253,Yams,1999,9200,1761,127585,27.64
3526,Brazil,-14.235,-51.9253,Yams,1999,9200,1761,127585,20.04
3528,Brazil,-14.235,-51.9253,Yams,1999,9200,1761,127585,18.39
3521,Brazil,-14.235,-51.9253,Yams,1999,9200,1761,127585,21.59
3522,Brazil,-14.235,-51.9253,Yams,1999,9200,1761,127585,20.04
3529,Brazil,-14.235,-51.9253,Yams,1999,9200,1761,127585,25.88
3530,Brazil,-14.235,-51.9253,Yams,1999,9200,1761,127585,24.01
3531,Brazil,-14.235,-51.9253,Yams,1999,9200,1761,127585,25.32
3919,Brazil,-14.235,-51.9253,Yams,2004,9234.5,1761,214725,17.88
3920,Brazil,-14.235,-51.9253,Yams,2004,9234.5,1761,214725,17.88
4315,Brazil,-14.235,-51.9253,Yams,2008,9375.3,1761,312637,17.88
4316,Brazil,-14.235,-51.9253,Yams,2008,9375.3,1761,312637,17.88
4323,Brazil,-14.235,-51.9253,Yams,2008,9375.3,1761,312637,25.54
3917,Brazil,-14.235,-51.9253,Yams,2004,9234.5,1761,214725,21.59
3918,Brazil,-14.235,-51.9253,Yams,2004,9234.5,1761,214725,20.05
3921,Brazil,-14.235,-51.9253,Yams,2004,9234.5,1761,214725,27.72
3922,Brazil,-14.235,-51.9253,Yams,2004,9234.5,1761,214725,20.05
4321,Brazil,-14.235,-51.9253,Yams,2008,9375.3,1761,312637,25.96
4322,Brazil,-14.235,-51.9253,Yams,2008,9375.3,1761,312637,24.26
4313,Brazil,-14.235,-51.9253,Yams,2008,9375.3,1761,312637,21.86
4314,Brazil,-14.235,-51.9253,Yams,2008,9375.3,1761,312637,20.22
4317,Brazil,-14.235,-51.9253,Yams,2008,9375.3,1761,312637,27.54
4320,Brazil,-14.235,-51.9253,Yams,2008,9375.3,1761,312637,18.8
4026,Brazil,-14.235,-51.9253,Yams,2005,9246.2,1761,232232,25.7
4318,Brazil,-14.235,-51.9253,Yams,2008,9375.3,1761,312637,20.22
4018,Brazil,-14.235,-51.9253,Yams,2005,9246.2,1761,232232,18.53
4020,Brazil,-14.235,-51.9253,Yams,2005,9246.2,1761,232232,28.17
4017,Brazil,-14.235,-51.9253,Yams,2005,9246.2,1761,232232,20.78
4019,Brazil,-14.235,-51.9253,Yams,2005,9246.2,1761,232232,18.53
4021,Brazil,-14.235,-51.9253,Yams,2005,9246.2,1761,232232,20.78
4016,Brazil,-14.235,-51.9253,Yams,2005,9246.2,1761,232232,22.05
4319,Brazil,-14.235,-51.9253,Yams,2008,9375.3,1761,312637,26.94
4022,Brazil,-14.235,-51.9253,Yams,2005,9246.2,1761,232232,27.6
4023,Brazil,-14.235,-51.9253,Yams,2005,9246.2,1761,232232,19.42
4025,Brazil,-14.235,-51.9253,Yams,2005,9246.2,1761,232232,24.79
4024,Brazil,-14.235,-51.9253,Yams,2005,9246.2,1761,232232,26.27
4980,Burkina Faso,12.2383,-1.5616,Yams,1992,1147.5,748,29.1,28.06
5004,Burkina Faso,12.2383,-1.5616,Yams,1995,6921.2,748,3.04,28.46
4996,Burkina Faso,12.2383,-1.5616,Yams,1994,5304.3,748,6,28
5036,Burkina Faso,12.2383,-1.5616,Yams,1999,6535,748,93.43,28.45
5012,Burkina Faso,12.2383,-1.5616,Yams,1996,7379.9,748,39.16,28.74
5092,Burkina Faso,12.2383,-1.5616,Yams,2007,6520,748,292.05,28.96
5116,Burkina Faso,12.2383,-1.5616,Yams,2010,6651.8,748,442.89,29.17
5124,Burkina Faso,12.2383,-1.5616,Yams,2011,7482.7,748,843,29.03
5060,Burkina Faso,12.2383,-1.5616,Yams,2002,8337.3,748,39.47,28.97
5084,Burkina Faso,12.2383,-1.5616,Yams,2006,8548.2,748,109.24,28.92
4972,Burkina Faso,12.2383,-1.5616,Yams,1991,6083.3,748,29.1,28.4
5020,Burkina Faso,12.2383,-1.5616,Yams,1997,6916.9,748,75.29,28.52
5044,Burkina Faso,12.2383,-1.5616,Yams,2000,8292.8,748,75.44,28.6
4964,Burkina Faso,12.2383,-1.5616,Yams,1990,6625,748,29.1,28.77
5052,Burkina Faso,12.2383,-1.5616,Yams,2001,6948.1,748,57.46,28.77
5108,Burkina Faso,12.2383,-1.5616,Yams,2009,9418.6,748,132.3,29.05
5140,Burkina Faso,12.2383,-1.5616,Yams,2013,5859.4,748,843,29.41
5068,Burkina Faso,12.2383,-1.5616,Yams,2004,7420.8,748,1.28,28.9
5076,Burkina Faso,12.2383,-1.5616,Yams,2005,7530.6,748,92.21,29.18
4988,Burkina Faso,12.2383,-1.5616,Yams,1993,5960.3,748,17,28.58
5028,Burkina Faso,12.2383,-1.5616,Yams,1998,6692.9,748,111.41,28.95
5132,Burkina Faso,12.2383,-1.5616,Yams,2012,9078.5,748,843,28.67
5100,Burkina Faso,12.2383,-1.5616,Yams,2008,7189.5,748,190.92,28.4
5293,Burundi,-3.3731,29.9189,Yams,2007,5710.3,1274,412.66,21.28
5167,Burundi,-3.3731,29.9189,Yams,1992,5547.9,1274,92.08,21.31
5347,Burundi,-3.3731,29.9189,Yams,2013,7927.9,1274,956.06,21.53
5329,Burundi,-3.3731,29.9189,Yams,2011,6898.9,1274,75.64,21.23
5230,Burundi,-3.3731,29.9189,Yams,1999,5800.9,1274,150.24,21.01
5158,Burundi,-3.3731,29.9189,Yams,1991,5571.4,1274,92.08,20.97
5194,Burundi,-3.3731,29.9189,Yams,1995,5595.5,1274,144.2,21.55
5149,Burundi,-3.3731,29.9189,Yams,1990,5757.6,1274,92.08,21.15
5203,Burundi,-3.3731,29.9189,Yams,1996,5626.4,1274,207.1,21.18
5185,Burundi,-3.3731,29.9189,Yams,1994,5573.4,1274,84.45,21.25
5320,Burundi,-3.3731,29.9189,Yams,2010,6407.9,1274,264.53,21.75
5221,Burundi,-3.3731,29.9189,Yams,1998,5666.8,1274,107.29,21.56
5302,Burundi,-3.3731,29.9189,Yams,2008,5786.9,1274,456.44,21.29
5311,Burundi,-3.3731,29.9189,Yams,2009,5500,1274,177.75,21.42
5275,Burundi,-3.3731,29.9189,Yams,2005,5283.6,1274,304.83,22.29
5176,Burundi,-3.3731,29.9189,Yams,1993,5554.7,1274,96.99,21.17
5257,Burundi,-3.3731,29.9189,Yams,2002,5837.6,1274,98.1,21.45
5212,Burundi,-3.3731,29.9189,Yams,1997,5622.6,1274,117.56,21.51
5338,Burundi,-3.3731,29.9189,Yams,2012,9025.8,1274,98.59,21.44
5248,Burundi,-3.3731,29.9189,Yams,2001,5837.6,1274,72.56,21.24
5284,Burundi,-3.3731,29.9189,Yams,2006,5661.5,1274,190.51,21.83
5239,Burundi,-3.3731,29.9189,Yams,2000,6017.5,1274,109.87,21.32
5266,Burundi,-3.3731,29.9189,Yams,2004,5506.7,1274,508.26,21.71
5377,Cameroon,7.3697,12.3547,Yams,1992,5523.8,1604,1137.56,24.6
5557,Cameroon,7.3697,12.3547,Yams,2011,10135.4,1604,1372.47,25.25
5407,Cameroon,7.3697,12.3547,Yams,1995,7162.5,1604,48.35,25.21
5367,Cameroon,7.3697,12.3547,Yams,1991,5000,1604,99.09,24.99
5577,Cameroon,7.3697,12.3547,Yams,2013,10384.4,1604,1372.47,25.45
5357,Cameroon,7.3697,12.3547,Yams,1990,3931,1604,450.01,25.08
5517,Cameroon,7.3697,12.3547,Yams,2007,12100.2,1604,918.88,25.49
5437,Cameroon,7.3697,12.3547,Yams,1998,7936,1604,258.02,25.66
5497,Cameroon,7.3697,12.3547,Yams,2005,9781.4,1604,829.59,25.36
5547,Cameroon,7.3697,12.3547,Yams,2010,11159,1604,1160.63,25.7
5487,Cameroon,7.3697,12.3547,Yams,2004,7675.2,1604,849.48,25.42
5537,Cameroon,7.3697,12.3547,Yams,2009,12120.5,1604,813.77,25.54
5427,Cameroon,7.3697,12.3547,Yams,1997,7894.7,1604,630.12,24.98
5567,Cameroon,7.3697,12.3547,Yams,2012,11264.3,1604,1372.47,25.18
5397,Cameroon,7.3697,12.3547,Yams,1994,7058.8,1604,411.42,24.93
5527,Cameroon,7.3697,12.3547,Yams,2008,12100,1604,882.13,25.42
5417,Cameroon,7.3697,12.3547,Yams,1996,7500,1604,180.08,25
5507,Cameroon,7.3697,12.3547,Yams,2006,10074.7,1604,950.22,25.39
5447,Cameroon,7.3697,12.3547,Yams,1999,9320.9,1604,653,24.97
5387,Cameroon,7.3697,12.3547,Yams,1993,6000,1604,774.49,24.9
5477,Cameroon,7.3697,12.3547,Yams,2002,7664.3,1604,815.79,25.26
5467,Cameroon,7.3697,12.3547,Yams,2001,9434.5,1604,687,25.01
5457,Cameroon,7.3697,12.3547,Yams,2000,9366.2,1604,545,24.88
6136,Central African Republic,6.6111,20.9394,Yams,1990,6571.4,1342,0.04,25.42
6248,Central African Republic,6.6111,20.9394,Yams,2007,7165,1342,22.87,25.88
6192,Central African Republic,6.6111,20.9394,Yams,1998,6715.1,1342,22.87,25.96
6220,Central African Republic,6.6111,20.9394,Yams,2002,6730.8,1342,22.87,25.44
6213,Central African Republic,6.6111,20.9394,Yams,2001,6758.5,1342,22.87,25.28
6199,Central African Republic,6.6111,20.9394,Yams,1999,6792.5,1342,22.87,25.05
6206,Central African Republic,6.6111,20.9394,Yams,2000,6785.7,1342,22.87,25.4
6255,Central African Republic,6.6111,20.9394,Yams,2008,7383.1,1342,22.87,25.76
6276,Central African Republic,6.6111,20.9394,Yams,2011,7832.6,1342,22.87,25.23
6234,Central African Republic,6.6111,20.9394,Yams,2005,6869.3,1342,22.87,25.92
